微博正文
#idoltube# “他那么喜欢我，他才不希望我过得更好，他巴不得让我陪着他一起去死”，东华，你最好是这么想，不然小九跟你没完。#凤九冒死救东华##电视剧三生三世枕上书# Dear-迪丽热巴的微博视频  
今晚#三生三世枕上书大结局#小九出了阿兰若之梦，去了天宫，回了青丘，还...我就不剧透了，大家快去看起来吧#电视剧三生三世枕上书#  原图 
受@路易威登 邀请第一次体验云看秀，长草了好多单品，希望等到一切安好春暖花开的时候可以打扮得漂漂亮亮出门 #路易威登女装秀#  [组图共7张] 原图 
#一起追剧吧# 本九今日15点在青丘设宴，准备了九牌糕点和上等的桃花酿，欢迎各路仙友来品尝呀～#电视剧三生三世枕上书#  原图 
女生变美，真的很不简单，是#由内而外 自然更美#的过程。感谢斯维诗小Q瓶@Swisse斯维诗 的默默守护，让每个女生每一岁更美。 Swisse斯维诗的微博视频  
#idoltube##妈系女友白凤九# 帝君，小白一定会对你很好很好的。#凤九宠东华##电视剧三生三世枕上书# Dear-迪丽热巴的微博视频  
#电视剧三生三世枕上书##微博剧场# 我就说凤九是威猛小狐狸了吧 Dear-迪丽热巴的微博视频  
#idoltube##阿兰若上线# 她来了她来了，你们期待的阿兰若殿下来了，不过青殿请先退下#电视剧三生三世枕上书# Dear-迪丽热巴的微博视频  
#凤九吃醋##微博剧场# 小九气着气着就变醋坛子了 #电视剧三生三世枕上书# Dear-迪丽热巴的微博视频  
#电视剧三生三世枕上书##微博剧场# 青丘小凤九在线教学昏睡诀——以多取胜 Dear-迪丽热巴的微博视频  
在家追枕上书，看着看着就饿了…好想吃火锅啊！#宅久了看温泉都像火锅汤##电视剧三生三世枕上书#  原图 
#微博剧场##凤九东华互怼# 帝君，你怎么和古书上写的那些不一样呢，说好的高冷呢？#电视剧三生三世枕上书# Dear-迪丽热巴的微博视频  
最近的健身项目～ 绿洲  原图 
#idoltube##白凤九相亲# 像不像被安排相亲的你 Dear-迪丽热巴的微博视频  
#抗疫行动##手写加油接力# 向一线医务工作者致敬，你们辛苦了，我们一起对抗疫情！@张彬彬Vin  来一起加油！  原图 
#抗击新型肺炎我们在行动# #全民口罩行动# 大家一定要平平安安的！ 绿洲  [组图共6张] 原图 
聊#春晚# ，#赞得福#。我赞赞奔赴在前线的医务工作者，你们辛苦了！新的一年祝大家鼠年大吉大利，好运非你莫“鼠”，每个人都能平安健康！  原图 
#idoltube# 追星女孩小九已上线#电视剧三生三世枕上书# http://t.cn/A6vsUWOd  
#三生三世枕上书开播# 你的小狐狸凤九即将上线，跟上狐狸爪步开启追剧模式#电视剧三生三世枕上书# 《三生三世枕上书》终极预告 迪丽热巴高伟光重历三生炽恋  
#拒绝盗版从我做起#齐心协力，防止盗版蔓延；众志成城，打击侵权犯罪。跟我一起加入电影频道“拒绝盗版 从我做起”全民反盗版活动。拒绝盗版，从我做起！@中国电影报道 @电影频道融媒体中心  原图 
春节送礼送健康，分享一下我的同款健康好物@Swisse，轻松GET身体年轻态！Swisse推出新年限定礼盒，装满浓浓的爱意与年味。同款活力，同款美丽，过年带上Swisse，和我一起过个同款新年吧～#同款新年，爱在一起#  原图 
明星动态  
2019#微博之夜#盛典即将开启，以微博之力，让世界更美。1月11日，不见不散@微博之夜  原图 
#梦圆东方##追梦2020#离开2019～迈向新的一年，2020新年快乐～🎆  [组图共6张] 原图 
2020就要来啦～你准备好了没？送大家一份新年魔法，祝愿大家新的一年，都能追随内心更加勇敢，做自己想做的事。跟我一起对准@安慕希希腊酸奶 扫2020，许下你的愿望，告诉我你的2020新期待！#2020一起安慕希# Dear-迪丽热巴的微博视频  
今天的#星光大赏#   [组图共4张] 原图 
  [组图共2张] 原图 
在我们那个年代，今天也就是个光棍节  原图 
很开心能携手妹妹“冷巴”为腾讯国漫大IP手游@狐妖小红娘手游 代言，这一次，万水千山，我陪你看。红线仙们一起来涂山偶遇吧！ http://t.cn/Ai12qpr7 #万水千山我陪你看# 狐妖小红娘手游的微博视频  
路易威登首尔女装秀 @路易威登 做个酷盖，和我一起秀起来了～  [组图共9张] 原图 
#热巴爱上Swisse小Q瓶#很开心成为澳洲自然营养品牌@Swisse 的代言人~想拥有满满的胶原蛋白吗？快去搜索Swisse，和我一起爱上小Q瓶工作再忙，熬夜再晚，胶原蛋白都不怕流失，四周拥有少女嘭嘭肌~ Dear-迪丽热巴的微博视频  
喷上#YSL星河限定#反转巴黎，为你摘下整片耀夜星河🌌  [组图共2张] 原图 
第一支vlog😇 Dear-迪丽热巴的微博视频  
#慢游全世界#这场旅行因为婚纱而变得与众不同，送给27岁的自己，告诉她要一直勇敢心怀梦想。@慢游全世界  [组图共6张] 原图 
